Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To
"['share "" DOCX "" with you.']",['partake in docx'],"June 27th, 2019",11.55.54 AM,na,doc file,shared,na,na,['atomic number 11'],na,microsoft word,B
['File has be damage'],['share docx'],"june 27th, 2019",4.56am,thur,file ,damaged,Y,na,['sodium'],na,Google Drive,B
['Rockwell kent - Outlook E - Tag: # JKf1SB3YW5 for @ honey oil * * * * edu.'],"['confirm with microsift, account']","June 25th, 2019",1.44am,tue,link,confirm,Y,na,['sodium'],na,Microsoft,B
['Module Evaluation. docx'],['faculty valuation'],"June 25th, 2019",10.49am,tue,file ,evaluation,Y,ITS service,['atomic number 11'],na,microsoft ward,NB
['Missed Vociferation'],['called miss'],"ÊJune 21st, 2019",1.54pm,fri,na,na,na,na,['atomic number 11'],na,na,B
['TESTi1'],"['english oral presentation editor, professional guide, sort out']","juen 20, 2019",5.24.03om EDT,na,na,"editor, service",Y,na,"['Good Regards,']",na,na,NB
['ÊClustered Alert gem state 130423046'],['some pending message'],"June 20th, 2019",11.39am,thur,access message,alert,Y,na,"['Best Regard,']",Y,microsoft,B
['Sanction Job Offer'],['take for shadow shopper recap'],"June 20th, 2019",11.39am,thur,apply here now,"approve, offer, ",Y,na,['Warm Respect'],na,shadowshopper,B
"['Agriculture Section shared "" Document "" with you.']",['intimate dept share document'],"ÊJune 20th, 2019",10.24.01 am,thur,open,"shared, document",Y,na,['sodium'],na,Microsoft,B
['Advertise While Driving Your Car'],['chore opportuniies and looking for candidate'],"June 19th, 2019",1.27pm,wed,na,"hiring, ",na,na,['sodium'],na,na,B
['Payroll Changes get was successful'],['chnages in payroll information'],"ÊJune 17th, 2019",4.19pm,mon,payroll verification,"payroll, changes, access, authenticated",na,na,['Thank you'],na,na,B
['Office 6 / xvii / 2019 11: 56: xviii be'],['part 465 subscription exrired and. Validation stuff'],"June 17th, 2019",5.57am,mon,confirm now,"expire, request,subscritption, validation",Y,na,['atomic number 11'],na,Office 365,B
['Office 365 Password About To Croak'],['office 465 subscription exrired and. Validation poppycock'],"June 17th, 2019",8.08pm,mon,offcie 365 Admin center,"expire, password, subscription, hold",Y,office 365 Customer Service,['Thank you'],Y,offcie 365,B
['Information. docx'],['file has be share In docx'],"June 17th, 2019",11.50am,mon,file ,"file, share,docx",Y,na,['sodium'],na,docx,B
"['Assalamualaikum My Dear Friend,']","['politiics, effectual iisues to retire, zillion doller to bank, profit']","ÊJune 17th, 2019",3.11pm,mon,na,"profit, bank, dollar, million, confirmation",Y,na,['thank with my best regards'],na,na,B
['ÊYou have (15) notification substance from your faculty admin'],['notification message from staff admin'],"June 14th, 2019",11.59am,fri,blackboard faculty admin,"notification, admin, faculty",Y,Y,['Thanks'],Y,na,B
['Verification Required: Validate Military service Request for Rockwell kent'],['email update required and sustain today'],"June 13th, 2019",1.06pm,thur,office365 account team,"update, required, confirm, disable, suspense, ",Y,Y,['Thanks'],Y,offcie 365,B
"['Account Bodily function Request on xiii June, 2019']",['m account activation and validation'],"June 13th, 2019",12.50pm,thur,validate now,"activation, validate, immidiate, request",Y,Y,['Regrads'],Y,microsoft,B
['Audio_Message from ext. 4783'],['audio recording'],"June 12th, 2019",11.16am,wed,na,na,Y,Y,['atomic number 11'],Y,na,B
['kent. edu Email Inactivation Request'],['make request to inactivate your account'],"June 11th, 2019",10.50om,tue,na,"deactivate,request",Y,Y,['Give thanks you'],Y,na,B
['ÊMissed Outcry'],['caller out left a message for you'],"June 11th, 2019",1.12 PM,tue,na,message,na,na,['atomic number 11'],na,na,B
['One BRING CALVARY GREETNG FROM MRS. SUZAN BONI.'],['money for cancer diagnosied'],"June 11th, 2019",8.35am,tue,na,"cancer, diseases, ",na,na,['atomic number 11'],na,na,B
['please update ppayment'],"['update payment and defrayment decline,']","June 10th, 2019",8.50am,mon,update payment information,"decline, update, payment, failed",Y,Y,['Sec. incerely'],Y,na,B
['Piece of work Code of Behaviour'],['piece of work conduct for employee in an initiation'],"June 3rd, 2019",7.36pm,mon,na,"HR, code, employment",Y,Y,"['Compliments,']",Y,na,B
['Incoming Email issuing'],['email issues from office 365'],"June 3rd, 2019",7.48am,mon,follow simple steps,"issues, email, account,recover, hold",y,y,['unfeignedly'],Y,Office365,B
['ÊYour PayPal Defrayal Reception of $ 649. 99 to * * MCAFEE LLC'],"['statement of requital, transaction details and logarithm into PayPal account']","June 2nd, 2019",8.39.55am EDT,na,manage or cancel subscritption,"transaction, payment, account",Y,Y,['atomic number 11'],Y,PayPal,B
['Pet Babysitter Needed'],"['I need someone to look after my favourite, $ 350 hebdomadary']","May 29th, 2019",5.53 pm,wed,na,"needed, ad, ",Y,Y,"['Thanks,']",Y,na,B
['lncoming emails rejected'],['offi e 365 follow unable to drive home'],"May 24th, 2019",1.34pm,fri,Retrieve message,"rejected, unable,",Y,Y,['atomic number 11'],Y,na,B
['Update ID: Revaluation Content'],['pauperism to validate account statement'],"ÊMay 23rd, 2019",7.40om GMT,na,confirm now,"validate, request,update",Y,Y,['atomic number 11'],Y,na,B
['We Demand Your Confirmation'],['fund in agency that we like to make some illumination'],"May 22nd, 2019",7.42.13 am,wed,na,"confirmation, ",Y,Y,['Yours in Servic'],Y,na,B
['Email Security Alerting'],['email entrepot exceed the limit and demand to upgrade immidiately.'],"May 22nd, 2019",8.36 am,wed,URL Redacted,"exceeded, upgraded, alert, secuirty, data lost,immidiately",Y,Y,['sodium'],Y,na,B
['Doc___gn Have: ScannedAgreementDOC012. Pdf'],['doc share'],"May 21st, 2019",3.30pm,tue,Review Document,shared,Y,Y,"['Thank you,']",Y,Docx,B
['Employment Chance'],"['personal helper, employment opportunity']","May 20th, 2019",8.17pm,mon,na,"employment, immidiately",Y,Y,['Thank you'],Y,na,B
['Puppy Sitter:'],['need puppy willem de sitter'],"ÊMay 16th, 2019",7.47am,thur,na,"employment, ",Y,Y,['sodium'],Y,na,B
['Payment reception'],['remittance advice for defrayment'],"May 16th, 2019",12.20pm,thur,file ,payment,Y,Y,['sodium'],Y,na,B
['ÊBusiness / Partnership'],['deal and sake in business'],"May 10th, 2019",1.13am,fri,na,benefits,Y,Y,['Truly'],Y,na,B
['SCAN5655'],['shared filing cabinet'],"ÊMay 9th, 2019",12.00pm,thur,open doc,share,Y,Y,['sodium'],Y,na,B
['FW: Action Required: Update your payment information nowadays'],['defrayal against office 365 subscription be failed'],"May 8th, 2019",9.04pm,wed,URL Redacted,"failed, subscription, payment,admin, update,remove,request",Y,Y,['Respect'],Y,na,B
['ÊFW: Action Required: Update your defrayment information immediately'],['requital declined for office 365'],"May 8th, 2019",7.52pm,wed,update your payment information,"update, declined, payment, ",na,na,"['Unfeignedly,']",na,na,B
"[""Due Invoice 10355697 From Cortland Line Ship's company""]","['file shared astir invoice, financial']","May 6th, 2019",12.04 pm,mon,file ,"invoice, payment",Y,Y,['sodium'],na,na,B
['Assistance'],"['donating, drawing winner']","May 4th, 2019",1.30 am,na,na,"pay, money",Y,Y,['atomic number 11'],Y,na,B
['KSU Electronic mail Notification'],['email notification regarding fedaral law violation and identity and verification'],"May 3rd, 2019",6.09PM,Fri,URL Redacted,"verificationerror, violates, ",Y,Y,"['Sincerely yours,']",Y,na,B
"['ÊDear Web - chain armour User,']","['remail pending for database upgrade, validate emial account']","ÊMay 3rd, 2019",6.39PM,fri,na,"validate, required, upgrade, ",Y,Y,['Thanks'],Y,na,B
['Remittance Payment Advice'],['attched payment details'],"May 2nd, 2019",12.42pm,thur,ACH-Payment.PDf,payment,na,na,['Regard'],na,na,B
['Nancy John smith is ask for you to collaborate on Project Docs'],['Project doc'],"May 2nd, 2019",11.15.53am,thur,pdf ,"project, education",na,na,['Thanks'],na,Microsoft,B
['Projection LR342 Quote Request'],"['project oeuvre share, coaction']","ÊMay 1st, 2019",7.14am,wed,link,"peoject, education, request",na,na,['sodium'],na,na,B
['ÊPet Sitter Task'],['job deary sitter'],"ÊMay 1st, 2019",11.53am,wed,na,employment,na,na,['sodium'],na,na,B
"['Rockwell kent Validation Request on May 01, 2019, 03: 00 personify']","['secuirty update, commend to validate']","ÊMay 1st, 2019",03.00am,wed,validate now,"security, validate, request",Y,Y,['Regard'],Y,Microsofr,B
['( 1) Your account has been circumscribe. gem state: # R5131. 6D9R406MH'],['agency account get limited for payment weakness'],"April 30th, 2019",5.12.30pm,tue,sign in to customer portal,"limited, validate, account,failed,transaction",Y,Y,"['Secure Regards,']",Y,office 365,B
['ADVICE OF DEBIT - BANK CONFIDENTIAL'],['schedule payment in cant in personal checkin business relationship'],"April 29th, 2019",12.03pm,mon,URL Redacted,"payment,account, confidential",Y,Y,"['Respectfully yours,']",Y,na,B
['Content - Metre 0: 55 Second'],['ausio attached with link'],"ÊApril 26th, 2019",1.23,fri,play,na,Y,Y,['sodium'],Y,na,B
['ÊKent Admin # O38A3S #'],['mandatory explanation brushup process'],"April 26th, 2019",2.37pm,Fri,confirm now,"mandatory, acount, require, admin, incorrect",Y,Y,['atomic number 11'],Y,Microsoft,B
['Invoice for Service'],['invoiced for fill in work'],"ÊApril 26th, 2019",12.00pm,fri,URL Redacted,"invoice, payment",Y,Y,['sodium'],Y,na,B
['P_nd_ng Text file'],['onedrive pending md'],"ÊApril 25th, 2019",10.20am,thur,view document,document,y,Y,['sodium'],Y,na,B
['Ê [IMPORTANCE] Login Revaluation Required On Kent E mail Account'],['verify password for login interruption'],"ÊApril 25th, 2019",10.15.29am EDT,na,confirm now,"verify, account,interruption",Y,Y,['sodium'],Y,Microsoft,B
['ÊPaperWorks'],['document sharepoint'],"April 23rd, 2019",2.41pm,tue,nview document,"share, education, ",Y,Y,"['Sincerely yours,']",na,sSharePoint,B
"['Rockwell kent Postulation Created on 23 April, 2019 idaho: # 5KGI6T #']","['Due to request, you created idaho, we need to validate']","ÊApril 23rd, 2019",10.57am,Tue,confirm now,"validate, request,",Y,Y,['sodium'],Y,Microsoft,B
"[""RE: You ' re about to lose access to your Berth subscription""]",['subscription offcie 365'],"April 22nd, 2019",2.03am edt,na,renew now,"subscription, disable, access, admin, payment",Y,Y,['atomic number 11'],Y,Office365,B
['( 1) Break down to litigate your Credit Card'],['credir card physical process failure'],"April 17th, 2019",5.56pm,wed,sign in to customer portal,"finance, payment, transaction, invoice, failed, ",Y,Y,"['Dependable Regards,']",Y,offcie 365,B
['Easy means to claim $ 1000?'],['clain money by watching videos'],"April 17th, 2019",12.47pm EDT,na,click here to watch the instructional video,"clain, money, ",,,['nan river'],,,
['The Dwyer Grouping N0TlFlCATl0N'],['shared written document'],"April 16th, 2019",11.55am,tue,open,"notification, share",Y,Y,['sodium'],Y,na,B
"['ÊJason Fine tune share "" Proposal_ (1) "" with you.']",['commerce department shared'],"April 16th, 2019",12.52pm,tue,open,"share, doc, education",Y,Y,['atomic number 11'],Y,Microsoft,B
"['Kent Service of process U_d_t_ 15 Apr, 2019 RefID: XYO2OH']",['validating explanation'],"April 16th, 2019",3.22pm,tue,confirm now,"share, validate, account, deactivate",Y,Y,['sodium'],Y,na,B
['ÊKent Request Make'],['validating email report'],"April 16th, 2019",4.23am,tue,confirm now,"validate, account, request",Y,Y,['sodium'],Y,na,B
['NEED URGENT quotation mark'],['cargo need to shio from your country to china asap'],"  April 15th, 2019",5.10am,mon,na,urgent,na,na,['atomic number 11'],na,na,B
['Paysheet'],['confiscate papers for payroll'],"ÊApril 11th, 2019",7.17pm,thur,URL Redacted,"tax, payroll, doc",Y,Y,['atomic number 11'],Y,na,B
['ÊCoaching servicing'],['coaching service useable'],"April 10th, 2019",11.30am,wed,na,service,Y,Y,['Thanks'],Y,na,B
['subject matter ALERT'],['doc and audio recording'],"April 10th, 2019",10.22am,wed,apen attch to play/view message,"doc, share, alert",Y,Y,['sodium'],Y,SharePoint,B
['A document deliver been sent to you via eÄ_x Online'],['Document sent online'],"April 9th, 2019",11.35am,tue,clickhere,"share, sent, access, document",na,na,['sodium'],na,eFax,B
['ÊInitial Ending Revelation - Escrow # 7258300 / 3061 Vaughn Street'],['encrypted content'],"April 9th, 2019",2.28pm,tue,click here to open,encrypted,na,na,['atomic number 11'],na,na,B
['Server Notification for Rockwell kent Qui vive'],['waiter detect undelivered emals. Malfucntions and termination'],"April 8th, 2019",5.55am,mon,na,"active, termination, alert, notification, required, malfunction",Y,Y,['sodium'],Y,na,B
['message notice'],['pdf'],"April 8th, 2019",8.16pm,mon,download: Outstanding invoice.pdf,"notification, share, invoice, admin",Y,Y,['atomic number 11'],Y,na,B
"['[ IMPORTANCE] Parole Verification Required On kent. edu April 5, 2019, 7: xxix PM Account Refrence Acc ID: 35878U9LC8']","['nonpareil clip confirmation, avoid login interruption, password check']","April 5th, 2019",3.29pm,fri,confirm,"verification, interrution, account, required, avoid, confirmation",Y,Y,['atomic number 11'],Y,Microsoft,B
['ÊMarch Program line - Kent'],['payroll has comprise submitteed.'],"April 5th, 2019",5.18pm,fri,URL Redacted,"payroll, statement, admin",Y,Y,['atomic number 11'],Y,na,B
['ÊRE: Your Bureau 365 Business Essentials Poster follow ready'],"['office365 exist ready. Payment, deferred payment calling card']","April 4th, 2019",11.46am,thur,Sign in to customer portal,"account, payment,",Y,Y,['Thank you'],Y,offcie 365,B
['[ Important] Login Review article On Kent User'],['microsoft parole review'],"ÊApril 2nd, 2019",12.53pm,tue,confirm now,"account, confirm, verification, interruptiom",Y,Y,['atomic number 11'],Y,Microsoft,B
['New Fax Subject matter Facsimile. com Report [11 ]'],['see attachment'],"April 1st, 2019",1.30pm,mon,na,doc,Y,Y,['atomic number 11'],Y,na,B
['Train Inquiry'],['coach my son'],"March 31st, 2019",11.02am,sun,na,"inquiry, employment",Y,Y,['Thanks'],Y,na,B
['Task'],['resume attach'],"March 30th, 2019",11.44am,sat,na,"job, employment",Y,Y,['atomic number 11'],Y,na,B
['From The Desk Of Mr William 100. Dudley'],"['union reserve savings bank, record book of great payment with federal government,']","March 30th, 2019",11.18am,sat,na,"payment, bank, federal, requested",Y,Y,"['Truly,']",Y,na,B
['New facsimile from: Fax Serve. ...'],['fresh fax'],"March 29th, 2019",8.57am,fri,fead your fax,"enclosed, processed, received",na,na,['sodium'],na,na,B
['ÊMake Rockwell kent State Home'],['content'],"ÊMarch 27th, 2019",5.41am,wed,read this message,doc,Y,Y,['Yours in Servic'],Y,na,B
['tercet / xxvi * * * Due'],['pdf file'],"March 26th, 2019",1.52pm,tue,file ,shared doc,na,na,['atomic number 11'],Y,Premier1,B
['Kennard personify inviting you to collaborate on Past Due Invoice 100219'],['invoice referable'],"ÊMarch 26th, 2019",9.09pm,tue,open,"invoice, payment",Y,Y,['Thanks'],Y,Microsoft,B
"[""ÊI ' One thousand SORRY, Excuse insideÉ""]","['internet business organization, approach']","March 24th, 2019",7.09pm EDT,na,follow this link,"access, hidden, serious, ",Y,Y,['sodium'],Y,na,B
['Rhenium: Berth 365 - Check Your Account before personify be deleted'],['offcie 365 essentials be ready'],"ÊMarch 22nd, 2019",9.57am,fri,sign in to the office 365 Admin center,"invoice,deleted, account",na,ba,['atomic number 11'],Y,Office 365,B
['us post office # 0210 -'],['Hither is the leverage order in relation to client request'],"March 22nd, 2019",10.07am,fri,#DownloadPO,"request, gift card",na,na,['Thank you'],Y,na,B
['ÊRE: cite argument'],['Please confirm if quoting is available for statement below'],"March 21st, 2019",3.18am,thur,StatementPDf,"confirm, statement",Y,Y,['Thank you'],Y,na,B
"['Here \' s a manner to "" earn while you ascertain']","['ttrade stocks, supplement income']","March 21st, 2019",10.04pm,na,click here eatch his video,"earn, income",Y,Y,['atomic number 11'],Y,na,B
['ÊPreliminary CD Parcel Has Been Generated'],['Your documents s can constitute retrieved at'],"ÊMarch 20th, 2019",12.48pm,wed,Doc Link,package,Y,Y,['Unfeignedly'],Y,na,B
['Audio frequency Received From'],['ms voice sound recording'],"March 20th, 2019",7.52AM,wed,na,attachment,Y,y,['Yours in Servic'],Y,na,B
['Exigent Action Requested From You'],['You make the spot reserved but we postulate you to complete your activation like a shot'],"March 19th, 2019",8.00AM EDT,na,activation now,"requested, immidiately, confirm, activation",Y,Y,['Thanks'],Y,na,B
"[""ÊYou ' ve 2 Voicemail""]",['spokesperson message for you'],"March 15th, 2019",12.08pm,fri,VoiceMessage.way,"message, ",Y,Y,['Regard'],Y,Office 365,B
['Regarding Caper'],['job possition use'],"March 15th, 2019",8.47AM,fri,na,"job, employment,",Y,Y,"['Good regards,']",Y,na,B
['Referee:'],['most of your incoming email imputable to your mail session expiration'],"March 13th, 2019",1.30PM,wed,clickhere,"expiration, upgrade, re-validation, pending",Y,Y,"['Better Regards,']",Y,na,B
['no theme'],['You received VM from'],"March 13th, 2019",12.14PM,wed,Play Audio-26,na,na,na,['sodium'],na,na,B
"['Practiced day,']",['sodium'],"March 13th, 2019",6.00PM,wed,na,"payment, deceived",Y,Y,['Thanks'],Y,na,B
['( Your Bespeak Username for jobs. kent. edu )'],['your requested username for jons. kent'],"March 12th, 2019",10.56am,tue,Display full email,request,Y,y,['atomic number 11'],Y,na,B
['Your Feb write up financial statement is available.'],['account statement useable'],"March 12th, 2019",9.12pm,na,view statement,"acount, statement, access, ",Y,Y,['sodium'],Y,Paypal,B
['Opcuanet - (Yearly Group discussion Topic Suggestions )'],['commerce department link'],"March 12th, 2019",1.10pm,tue,display full email,"conference, education",Y,Y,['atomic number 11'],Y,na,B
['ÊIntuit Musical accompaniment: Action Command'],['Your bank retuned the verbatim deposit for the payroll'],"March 12th, 2019",2.29pm,tue,na,"action, required, payroll, bank",Y,Y,['sodium'],Y,na,B
['ÊCc: (RE: Workshop at Bathroom Reverend dodgson University this Saturday )'],['link for email opning'],"March 12th, 2019",8.20am,tue,display full email,workshop,na,na,['atomic number 11'],na,na,B
['ATC / PTA Programme'],['see attached below'],"March 12th, 2019",2.08pm,tue,Lawsui case file: CF-416523.pdf,progran,Y,Y,['atomic number 11'],Y,na,B
['subject matter notification'],['peerless drive'],"March 11th, 2019",3.02pm,mon,go to onedrive,"notification, file",Y,Y,['atomic number 11'],Y,one drive,B
['Lesson Coach Take'],['looking for engage bus'],"March 11th, 2019",12.13pm,mon,na,"job, needed, hire, available",Y,Y,['Respect'],Y,na,B
['INVOICE # 89774 - commerce'],['unity drive message'],"ÊMarch 11th, 2019",9.11am,mon,reqeest link,"invoice, shared",Y,Y,['sodium'],Y,na,B
['Re: Correct load information require.'],"['parcel, pitch address, appear incorrect']","March 11th, 2019",8.11am,mon,delivery address from,"shipment, incorrect, delivery",Y,Y,['atomic number 11'],Y,na,B
['Action ask: Confirm your info to prevent a PayPal Equipoise'],['paymal money sending government issue'],"March 10th, 2019",02.00AM EST,na,confirm your info here,"required, cofirm, action, money, account",Y,Y,['atomic number 11'],Y,na,B
['You suffer new Google Drive Doctor message'],['share document'],"March 9th, 2019",11.52AM,sat,view document,"file, share,docx",Y,Y,['atomic number 11'],Y,Google Drive,B
['Your Earning For Marching music 2019.'],['paysheet earning statement for lineal deposit useable'],"March 8th, 2019",5.13AM,fri,na,"payroll, statement, admin",Y,Y,['sodium'],Y,na,B
['1KH0 / 613FV1 / u.s.'],['cancel operating room'],"March 7th, 2019",4.38PM,thur,na,diseases,Y,Y,['Yours'],Y,na,B
['Call Legal transfer tone from Trusted Source'],['new interpreter'],"March 7th, 2019",9.17am,thur,Download,"file, share,docx",Y,Y,['sodium'],Y,na,B
['View Secure PDF'],['has direct you your authoritative document'],"March 7th, 2019",8.03am,thur,view in one drive,"secure, review",na,Y,['Esteem'],Y,na,B
['ÊListen to Voicenote'],['voicemessage notification'],"March 7th, 2019",12.42am,thur,na,notification,Y,Y,['sodium'],Y,na,B
['Terms of Military service.'],['your written document has been completed'],"ÊMarch 7th, 2019",1.41pm,wed,view complete document,"closing, attachment",na,na,['atomic number 11'],na,na,B
['Preliminary cadmium and Former Ending Department of commerce Attached Closing Set for 03 / 08 / 2019'],['your document feature be completed'],"ÊMarch 7th, 2019",1.41pm,wed,view complete document,"closing, attachment",na,na,['atomic number 11'],na,na,B
['Apprisal'],['ms verification alert'],"March 6th, 2019",9.43am,wed,na,"verification, notification, update, account, deleted,",Y,Y,['Wish!'],Y,na,B
['Urgent Explanation Notice'],['your mailboc failed to synchronise'],"March 5th, 2019",5.20am,tue,URL Redacted,"urgent, notice, account, failed, password, ",Y,Y,['atomic number 11'],Y,na,B
['YOUR DIPLOMATIC packet'],"['parcel depositary, realiability']","March 3rd, 2019",5.22am,sun,na,"notify, package, ",Y,Y,"['Thank you and Atomic number 53 unfeignedly Remain,']",Y,na,B
['Payroll Earning Statement for Master of architecture 2019'],"['earning statement, parroll site']","March 1st, 2019",5.56am,fri,URL Redacted,"account, payroll, statement, employee",na,na,['sodium'],na,na,B
['Êsent you a papers to review and signalize'],['papers'],"February 28th, 2019",11.27am,thur,review document,"review, sign",na,na,['atomic number 11'],na,DocuSign,B
['Electronic mail Notification (Treat Urgent )'],['email account lately sign'],"ÊFebruary 27th, 2019",12.43pm,fri,plick click here for verication to avoid ,notification,na,na,['sodium'],na,na,B
['( Secure Message) Re: Monitor: bill 81736265'],['secure electronic mail'],"February 26th, 2019",15.13 EST,na,open secure email,"invoice, secure",Y,Y,['Atomic number 39'],Y,na,B
['Ê (Secure Email) Ra: Open Bill MR87103'],['secure e mail'],"February 26th, 2019",9.47am,tue,open secure email,"secure, invoice",Y,Y,['Yttrium'],Y,na,B
"['[ Reminder] Message Delayed on rockwell kent. edu E mail Business relationship Today, 26 Feb 2019. Air combat command Gem state: 22683aBHnH']",['medico attached'],"February 26th, 2019",12.29pm,tue,confirm,"confirm, delay",Y,Y,['Atomic number 39'],Y,office 365,B
['Êimportant (re: Volition you live 1 of the 15 for KSU educatee - jock? )'],['subject matter attached'],"February 26th, 2019",4.27am,tue,open message,"important, ",Y,Y,['Atomic number 39'],Y,na,B
['Tansaction Repayment from Patti'],['refund check'],"February 22nd, 2019",2.59pm,fri,get RFF receipt,"refund, transaction, confirmation, payment",Y,Y,['Wye'],Y,na,B
"['Ê [grandness] Password Confirmation on rockwell kent. edu E mail Accounting Today, 22 Feb 2019. Acc Id: 42775V65yf']","['one metre substantiation,']","February 22nd, 2019",11.26am,fri,confirm here,"verification, account, confirmation",Y,Y,['Wye'],Y,microsoft,B
['New Content from a Caller'],['voice content for you'],"February 22nd, 2019",10.16am,fri,review audio,"message, ",Y,Y,['Wye'],Y,na,B
['Dealings for invoice 36726579'],['thanks for working with us'],"February 21st, 2019",12.12pm,thur,link url,"transaction, payment, account, invoice",Y,Y,['Wye'],Y,na, B
['Purchasing Orderliness # 0361'],['this constitute purchasing guild'],"February 21st, 2019",11.53am,na,download,"purchasing, order, request",Y,Y,['Thank you'],Y,na,B
"['Ian shared "" eVoice Message "" with you.']",['doc bond'],"February 21st, 2019",2.30pm,thur,open,"shared, message",Y,Y,['sodium'],Y,Microsoft,B
['Your incoming email legal transfer reports'],['e mail'],"February 20th, 2019",4.49pm,wed,na,report,Y,y,['atomic number 11'],Y,na,B
['raw file'],['data file'],"February 20th, 2019",11.54am,wed,go to onedrive,review,Y,Y,['atomic number 11'],Y,Microsoft,B
['Invoice Due'],['indian file for invoice'],"February 20th, 2019",11.26am,wed,go to onedrive,"review, sign",Y,Y,['atomic number 11'],Y,Microsoft,B
['Your incoming email obstetrical delivery reports'],['indian file'],"ÊFebruary 19th, 2019",7.20pm,tue,na,"delivery, report",Y,Y,['atomic number 11'],Y,na,B
['Apprisal Release Letter'],['filr'],"February 19th, 2019",9.10am,tue,na,"notification, required, action, delayed",Y,Y,['Atomic number 11'],Y,office365,B
['URGENT'],['are you at office'],"February 14th, 2019",3.59Pm,thur,na,"urgent,",Y,Y,['atomic number 11'],Y,na,B
['Requital from'],['this equal your selective information today'],"February 14th, 2019",7.45am,thur,URL Redacted,"payment,notice, ",na,na,"['Adept Regards,']",na,na,B
['Sales Contract bridge PO: # 224906999'],['two new message'],"February 12th, 2019",9.32am,tue,review ,"sales, review",Y,Y,['thanks'],Y,na,B
['new federal reserve note from Ian'],['your notice is hither'],"February 12th, 2019",2.15pm,tue,invoice connect,"bill, ",Y,Y,['thank you'],Y,na,B
['Atomic number 75: Defrayment Invoice'],['please check your'],"February 12th, 2019",2.17am EST,na,na,"invoice, payment",Y,Y,['Thank you'],Y,na,B
['KSU Infringement'],"['email has live reposted, regulating']","February 9th, 2019",11.21am EST,na,URL Redacted,"reported, regulations, policies",Y,Y,['Sincerely yours'],Y,na,B
['We recieved your request'],['request to deactivate'],"January 29th, 2019",2.11pm,tue,cancel,"request, cancel, deactivate, ",Y,Y,['sodium'],Y,offcie 365,B
['URGENT REQUEST'],['Are you available? No calls text alone 9513072XXX'],1/9/20,na,na,na,Urgent,Y,"Chancellor
Berkeley University of California",['well REGARDS'], cchristberkeley.edu@gmail.com,na,NB
['Quick interrogation'],"[""Iodin ' m in a coming together and pauperization assistance catch some Amazon Gift Cards""]",1/9/20,na,na,na,Quick,Y,"University of California, Berkeley",['atomic number 11'],XXX.subdomain.berkeley.edu,na,NB
['* * * * * * Role sentence place employment help require * * * * * *'],['Hello RECIPIENT I am urgently seeking for a Clerical / Administrative Supporter to ferment for me on campus at their own free time while I am away on my work and earn basic wage $ 250 weekly. This is a flexible book of job that requires piddling to no anterior experience. Let me know you are interested and 1 will fill you in.'],10/19/19,2:22 PM, Sat,na,Job/Needed,Y,"*Professor David Card*
*Department of Economics*
*530 Evans Hall #3880*
*University of California Berkeley*
*Berkeley, CA*",['Unfeignedly'],dvdmson @ gmail . Com,na,NB
['Ê vendor payment'],['Ar you around? Unity necessitate to pay a vendor with the blucard.'],"12/27/18
 ",na,na,na,"gift card, meeting",Y,"University of California, Berkeley",['atomic number 11'],ÊÊXXX.subdomain.berkeley.edu@gmail.com,na,NB
['Immediate question'],"[""One ' metre in a meeting and need helper get some Amazon Gift Cards""]","12/27/18
 ",na,na,na,shared,Y,"University of California, Berkeley",['sodium'],XXX.subdomain.berkeley.edu,na,
['ÊXXX has share a document on Google Docs with you'],['thirty has invited you to look at the following document:'],"5/3/2017
",na,na,Open in Docs,"invite, share",na,,['sodium'],ÊXXX@berkeley.edu,na,BCC
['Message from human resources'],['Dear XXXXX @ bishop berkeley. edu (yoke beam e - mail service) An selective information document has been send out to you by the Human Resource Department. Click here to Login to look at the document. Thank you!'],4/13/17,9:29:54 PM PDT,na,click here,HR,Y,"Berkeley University Of California HR Department
© 2017 The Regents of the University of California.  All rights reserved.",['Thank you'],HR@berkeley.edu,na,NB
['Library Account'],"['Dear Student, Your access to your library account is expiring soon due to inactivity. To continue to have memory access to the library services, you must reactivate your account. For this purpose, click the web address below or copy and paste it into your web browser. A successful login will activate your account and you will be redirected to your library visibility. hypertext transfer protocol: / / auth. berkeley. edu / golden state / login? service = https% 3a% 2f% If you are not able to login, please contact <Name Removed> at xxxxx @ berkeley. edu (link sends e - mail) for immediate aid.']",4/1/17,2:09 PM,Sat,plain url,"expiring soon, inactivity, ",Y,"University Library
University of California Berkeley","['Sincerely yours,']",na,na,NB
['Your Dropbox File'],"[""Hullo, You just received a file cabinet through Dropbox Share Application. Please click below and log in to view file. View file Every time a friend installs Dropbox, we ' ll sacrifice both of you 1 GB of space for free! Need even more space? Advance your Dropbox and get ace TB (1, 000 GB) of space""]",1/30/17,na,Mon,view file,"file, dropbox",Y,The Dropbox Team,['Happy Dropboxing.'],sass@tamhsc.edu(link sends e-mail),Dropbox,B
