Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To,email_text
['nanna'],"['Dear User, This message follow to inform you that your access to bCourses will soon expire. You will have to login to your account to continue to take access to this service. You need to reactivate it just by logging in done the following URL. A successful login will activate your account and you will be redirected to your bCourses page. http: / bcourses. berkeley. edu / login_0DZvfIrGID322o0ki22F0IZotK3lPfYHa62pNgFo4Oh4B40FO4WFMbL4BeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jX2LqgZijDXGuwEM8fb8yNE7xdTJSMBNYpD4cemhm / If you are not able to login, please contact Danielle Patel at dapatel @ bishop berkeley. edu (link sends eastward - mail) for immediate assistance.']",1/25/17,na,na,URL,"expire, login, reactive",Y,"Berkeley Security
University of California, Berkeley
510-643-6957","['Sincerely yours,']",dapatel@berkeley.edu,na,B,nanna dear user this message follow to inform you that your access to bcourses will soon expire you will have to login to your account to continue to take access to this service you need to reactivate it just by logging in done the following url a successful login will activate your account and you will be redirected to your bcourses page   bcourses berkeley edu  logindzvfirgidokifizotklpfyhapngfoohbfowfmblbelbmcbynmkrdqjsmjmmbphotsfjxlqgzijdxguwemfbynexdtjsmbnypdcemhm  if you are not able to login please contact danielle patel at dapatel  bishop berkeley edu link sends eastward  mail for immediate assistance
['Update Hepatic portal vein'],"['The Human Resourcefulness / Payroll Section has completed the final paystub changes for 2017 taxation year. To consider the changes to your paystub information and persuasion / download your W - ii forms (2014 - 2016 tax years ), kick the bucket to: Adp Portal We hope you find the changes to your paystub information useful and welcome any comments you may have.']",24 Jan 2017Ê,13:31:49,Tue,ADP portal,"tax, update",Y,na,"['Yours Unfeignedly,']",director.stics@boyaca.gov.co,na,NB,update hepatic portal vein the human resourcefulness  payroll section has completed the final paystub changes for  taxation year to consider the changes to your paystub information and persuasion  download your w  ii forms    tax years  kick the bucket to adp portal we hope you find the changes to your paystub information useful and welcome any comments you may have
['FedEx Shipment Update'],"['Lamb Customer, We could non rescue your detail. You can review and print complete details of send tariff on your order. Thanks']",1/3/17,na,Tue,PDF Attachment:  update_Form.pdf,"shipment, update",Na,na,['Thanks'],xxxxxx@berkeley.edu,FedEx,B,fedex shipment update lamb customer we could non rescue your detail you can review and print complete details of send tariff on your order thanks
['ÊImportant Announcement from Premier Nicholas B. Dirk'],"['Good Dawning Berkeley Family, Please read attach for an significant announcement from Prime minister Saint nicholas B. Dirks']",12/14/16,8:55 AM,Wed,1 attachment: shared Document.pdf,"important, chancellor",Y,"

Chancellor","['Thanks,']",penweltm@miamioh.edu,na,B,important announcement from premier nicholas b dirk good dawning berkeley family please read attach for an significant announcement from prime minister saint nicholas b dirks
['Email Account Climb'],"['Dear User, Somebody else was trying to use your Berkeley ID to sign into iCloud via a web browser. Date and Time: 28 Oct 2016, 1: 38 PM Web browser: Firefox Operate System: Windows Location: Thailand If the info above looks familiar, you can disregard this email. If you have not recently and believe someone may be trying to access your report, you should Clack Here <http: / / muck. gl / rk87KW >.']",Ê10/28/2016Ê,4:38 PM,na,Plain url,upgrade,Y,Technical Support Team,"['Sincerely yours,']",Êitcsshelp@berkeley.edu,na,B,email account climb dear user somebody else was trying to use your berkeley id to sign into icloud via a web browser date and time  oct    pm web browser firefox operate system windows location thailand if the info above looks familiar you can disregard this email if you have not recently and believe someone may be trying to access your report you should clack here 
['Unorthodox Activity'],"['From: BankOfAmerica Topic: Unorthodox Activity Date: 10 / 20 / 2016 7: 27 AM We have detect unorthodox activity on your account on the date 10 / 20 / 2016. For your protection, we have temporary limited your account. In order to regain full access to your account, you must aver this activity before you can continue using your account. We have sent you an attachment, open it and follow the steps to verify your account. Once completed, please allow up to 48h to update. Copyright © 2016 BankOfAmerica, All rights reserve IrregularActivityFile. html']",10/20/16,7:27 AM,na,Plain url,"protection, update, irregular activity",Y,"Copyright © 2016 BankOfAmerica, All rights reserve",['sodium'],na,na,B,unorthodox activity from bankofamerica topic unorthodox activity date        am we have detect unorthodox activity on your account on the date      for your protection we have temporary limited your account in order to regain full access to your account you must aver this activity before you can continue using your account we have sent you an attachment open it and follow the steps to verify your account once completed please allow up to h to update copyright   bankofamerica all rights reserve irregularactivityfile html
['Message containing Locky malware'],"['How do you do, Please sign the attach contract bridge with our expert service society for 2016 ð 2017. We would appreciate your speedy response.']",24 Aug 2016Ê,20:29:58,Wed,na,financial,Y,(Digital-Signature: f0a0e01386d19b03736165288026cc97e325560c78700e95),"['King regards,']",ÊCurtis.8271@brasiltelecom.net.br,na,B,message containing locky malware how do you do please sign the attach contract bridge with our expert service society for    we would appreciate your speedy response
['Subject matter curb Locky malware'],"['Hullo, The monthly fiscal program line is attached within the email. Please review it before processing.']",8/24/16,8:44:09,Wed,na,financial,Y,(Topic-ID: b0b82053c611db43b3a1a568c0660cd72365964cb8b04ed5),"['King regards,']",ÊCurtis.8271@brasiltelecom.net.br,na,B,subject matter curb locky malware hullo the monthly fiscal program line is attached within the email please review it before processing
['Lively Info'],"[""Hello, Ê Please advert to the vital information I ' ve shared with you using Google Parkway. Ê ClickÊhttps: / / web. google. com / drive / docs / file0116Êand polarity in to look at details..""]","May 23, 2016Ê",2:56 PM,Mon,URL,vital,Y,"Readmission Representative
Office of the Registrar",['Esteem'],na,na,B,lively info hello  please advert to the vital information i  ve shared with you using google parkway  click   web google com  drive  docs  fileand polarity in to look at details
['bCourses Phish Onrush'],"['Dear Substance abuser, This message is to inform you that your access to bCourses will soon expire. You will have to log in to your account to continue to have access to this service. You need to reactivate information technology just by log in through the following URL. A a successful login leave activate your account, and you will be redirected to your bCourses page. http: / / bcourses. berkeley. cnea. gq / login_0DZbL4B22o0ki22F0IZotK2LqgZijDXvfIrGID3D4cemh3lPfYHa62pNgFo4Oh4B40FO4WFMGuwEM8fb8yNE7xdTJSMBNYpeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jXm / If you be not able to login, please contact Mary Patel at mpatel @ george berkeley. edu (link sends e - mail) for immediate assistance.']",5/20/16,na,na,URL,"expire, access, ",Y,"Berkeley Security
University of California, Berkeley
510-643-6927",['Unfeignedly'],mpatel@berkeley.edu,na,B,bcourses phish onrush dear substance abuser this message is to inform you that your access to bcourses will soon expire you will have to log in to your account to continue to have access to this service you need to reactivate information technology just by log in through the following url a a successful login leave activate your account and you will be redirected to your bcourses page    bcourses berkeley cnea gq  logindzblbokifizotklqgzijdxvfirgiddcemhlpfyhapngfoohbfowfmguwemfbynexdtjsmbnypelbmcbynmkrdqjsmjmmbphotsfjxm  if you be not able to login please contact mary patel at mpatel  george berkeley edu link sends e  mail for immediate assistance
['Your account has be Iimited untiI we listen from you'],"['your account has be suspened, as an error was detected in your selective information. The rationality for the error be non certain, only for secuirty reasons, we have freeze your account temporarily.']",3/22/16,4:14 PM,na,Update your information,suspended,Y,na,['atomic number 11'],Acces@up.com,PayPal,NB,your account has be iimited untii we listen from you your account has be suspened as an error was detected in your selective information the rationality for the error be non certain only for secuirty reasons we have freeze your account temporarily
['atomic number 75: Observance from @ rescue. org'],"['Hello Everyone, There will be additional IT maintenance today between 10am Ð 11am. During this time, some IT systems and applications used by the IRC globally may follow affected, and you whitethorn experience brief outages. Please upgrade your mailboxes (size to 20. 0GB ). by click IT system of rules AND sustentation.']",3/14/2016Ê,7:35 AM,na,IT SYSTEM AND MAINTENANCE.,notice,Y,na,['atomic number 11'],Ashley.Mathew@rescue.org,na,NB,atomic number  observance from  rescue org hello everyone there will be additional it maintenance today between am  am during this time some it systems and applications used by the irc globally may follow affected and you whitethorn experience brief outages please upgrade your mailboxes size to  gb  by click it system of rules and sustentation
['Net Admonisher You Must Update Your Apple Account Information!'],"[""Hello, We ' ve noticed that some of your account information appears to be missing or incorrect, we need to verify your account information in order to continue use your Apple ID. Please Verify your account info by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >. Wondering why you got this email? When you don ' t regularly update your Apple ID information, Apple will require you to subscribe in by following the link in a confirmation email and update your information. This is to help protect your identity and keep your account secure. Apple Support""]",3/13/16,1:32,na, Verify Now ,"missing, incorrect,last remider",Y,na,['sodium'],Appel@support.com,na,NB,net admonisher you must update your apple account information hello we  ve noticed that some of your account information appears to be missing or incorrect we need to verify your account information in order to continue use your apple id please verify your account info by clicking on the link below sign in using your apple id to start the process verify now  wondering why you got this email when you don  t regularly update your apple id information apple will require you to subscribe in by following the link in a confirmation email and update your information this is to help protect your identity and keep your account secure apple support
['Help Desk \x89 ÛÜ Notice.'],['We detected obscure information processing access on our date base computer system our security requires you to verify your account for secure security kindly Click Hither and verify your account. \x89 ÛÜ Help Desk \x89 ÛÜ'],3/4/16,4:00 PM,na,Click Here ,"unknown, notice",Y,Help DeskÛÜ,['atomic number 11'],jjdoe@capousd.org,Unknown,NB,help desk x  notice we detected obscure information processing access on our date base computer system our security requires you to verify your account for secure security kindly click hither and verify your account x  help desk x 
['Google Docs Download'],['You throw a pending incoming download docs shared with you via Google department of commerce'],2/22/2016Ê,5:45 AM,na,Secure Message,Download,na,na,['atomic number 11'],Google@Googledocss.com,Google Docs,BN,google docs download you throw a pending incoming download docs shared with you via google department of commerce
['2015 Double u - 2 statement'],"[""Unity call for all our employee ' s reference copies of 2015 W - 2 wages and tax statement, i embody working on a recapitulation and if you can sour on the W2 ' s and let it sent to me as an attachment this morning that will be brilliant. Via email would be appropriate.""]","Feb 22, 2016Ê",8:17 AM,Mon,na,"Tax, attachment",Y,na,['Esteem.'],President@ucop.edu,na,B, double u   statement unity call for all our employee  s reference copies of  w   wages and tax statement i embody working on a recapitulation and if you can sour on the w  s and let it sent to me as an attachment this morning that will be brilliant via email would be appropriate
['Your access get been disable'],"[""Dear User Your Itunes - gem state give been disabled. You ' ve place your story under the risk of termination by non keeping the correct information. Please verify your account every bit before long as potential. Ready to check? Click here to get back your account.""]",2/21/16,4:33 PM,Unknown,Click here,"disable account access, termination, ",Y,Unknown,"['Unfeignedly,']",no_reply@appsupport.com,na,NB,your access get been disable dear user your itunes  gem state give been disabled you  ve place your story under the risk of termination by non keeping the correct information please verify your account every bit before long as potential ready to check click here to get back your account
['Dear Email Exploiter'],"['Your password will expire in 2 days, Click Hither to re - change your parole at once.']",2/9/16,5:38 PM,Unknown,Click here,"expire, password, immidiately",Y,"
IT- Help Desk","['Thank you,']",jdoe@seedschoolmd.org,na,NB,dear email exploiter your password will expire in  days click hither to re  change your parole at once
['Help Desk / Password Update'],['Word will expire in 2 days ÊClick HereÊTo Validate E - mail'],2/2/16,5:01 AM,Unknown,Click here,"expire, validate",Y,IT-Service Help Desk,"['Thank you,']",John.doe@medford.k12.or.us,na,NB,help desk  password update word will expire in  days click hereto validate e  mail
['Platter Update'],['This is an urgent petition to update your employment phonograph record at the U. S Section of Labor movement. Update'], 1/18/2016 ,1:57 PM,Unknown,UpdateÊ,"update, urgent,employment",Y,"U.S Dept. of Labor
Frances Perkins Building, 
200 Constitution Ave., NW, 
Washington, DC 20210",['Thank you'],records@dol.gov,Department of Labor,NB,platter update this is an urgent petition to update your employment phonograph record at the u s section of labor movement update
['Significant Update'],"['As we prepare to start the 2016 Tax filling season, we stimulate undergone slight changes in the filling process to earn filling for your refund easier and to prevent unnecessary delays. Part of the variety include updating our database with your information. Please ensure to cautiously complete this verification to avoid hitches in processing your refund. We have sent you an attachment, open it and follow the steps to verify your profile.']",Ê1/15/2016,2:58 PM,Unknown,na,"update, IRS, TAX",Y,IRS Service,['atomic number 11'],irs@services.com,na,NB,significant update as we prepare to start the  tax filling season we stimulate undergone slight changes in the filling process to earn filling for your refund easier and to prevent unnecessary delays part of the variety include updating our database with your information please ensure to cautiously complete this verification to avoid hitches in processing your refund we have sent you an attachment open it and follow the steps to verify your profile
['DHL EXPRESS text file'],"['Your parcel (shipping text file) arrived at the post office. Here is your Shipping Document / Invoice and copy of DHL receipt for your tracking which includes the bill of load and DHL tracking number, the raw Import / Export policy supplied by DHL Express. Please kindly turn back the attached to confirm accordingly if your address is correct, before we submit to our outlet office for dispatch to your destination.']",1/15/2016Ê,6:47 AM,Unknown,DHL_EXPRESS.pdf (34Kb) View | Download,"DHL, shipping",Y,DHL EXPRESS,['atomic number 11'],office@korloycompany.ro,na,NB,dhl express text file your parcel shipping text file arrived at the post office here is your shipping document  invoice and copy of dhl receipt for your tracking which includes the bill of load and dhl tracking number the raw import  export policy supplied by dhl express please kindly turn back the attached to confirm accordingly if your address is correct before we submit to our outlet office for dispatch to your destination
['IMPORTANT TAX paying back DOCUMENT AVAILABLE'],"['Dear: Account Owner, Our records indicate that you are enrolled in the University of California paperless W2 Program. As a solvent, you do not receive a paper W2 but instead receive e - mail notification that your online W2 (i. e. "" paperless W2 "") is prepared and ready for viewing. __ Your W2 is ready for viewing under Employee Self Service. Logon at the following link: Detent Here to Logon If you have trouble logging in to Employee Self Avail at the link above, please contact your Payroll Department for support. If you would like to un - enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and play along the instructions.']",1/6/16,5:53:32 AM,Unknown,Click Here ,"TAX, W2, important",na,Unknown,['sodium'],ÊESSW2@berkeley.edu,na,NB,important tax paying back document available dear account owner our records indicate that you are enrolled in the university of california paperless w program as a solvent you do not receive a paper w but instead receive e  mail notification that your online w i e  paperless w  is prepared and ready for viewing  your w is ready for viewing under employee self service logon at the following link detent here to logon if you have trouble logging in to employee self avail at the link above please contact your payroll department for support if you would like to un  enroll in the paperless w program please logon to employee self service at the link above and go to the w delivery choice webpage and play along the instructions
['Re: X - PHP - Arise - Handwriting: 1336: atomic number 93. php'],"[""Dear Dr. <recipient ' s name murder >; I recently read your final clause and it live very useful in my field of research. I wonder, if possible, to send me these articles to utilise in my current research: one - http: / / auth. berkeley. eduh. in / <link removed> 2 - hypertext transfer protocol: / / www. sciencedirect. com / science / article / pii / S1644966515000825 (link is external) Thanks for you Cooperation in Advance. John Doe Department of Civil and Environmental Engineering University of Alberta Telephone: (XXX) XXX - XXXX - - 21878cacb2d3a784678d12d61f1136d7 - -""]",1/2/16,Ê09:58:07 GMT,Sat,URL,research,Y,Department of Civil and Environmental Engineering University of Alberta,['Thanks for you Cooperation in Procession.'],john.doe@ulberta.ca,na,NB,re x  php  arise  handwriting  atomic number  php dear dr  i recently read your final clause and it live very useful in my field of research i wonder if possible to send me these articles to utilise in my current research one     auth berkeley eduh in     hypertext transfer protocol   www sciencedirect com  science  article  pii  s link is external thanks for you cooperation in advance john doe department of civil and environmental engineering university of alberta telephone xxx xxx  xxxx   cacbdaddfd  
['Your business relationship on the verge of shutdown!!'],"['Heartfelt Client, Of late your account was brush up and flagged because of a potential connection to some fallacious dealings. To avoid an eventual restriction to your account, please verify your informations by logging in to our Litigations Manager.']", 1/1/2016 ,5:47 AM,na,check my account,"fraudulent, transaction",Y,na,['sodium'],support@ppl.com,Pay.service secure,NB,your business relationship on the verge of shutdown heartfelt client of late your account was brush up and flagged because of a potential connection to some fallacious dealings to avoid an eventual restriction to your account please verify your informations by logging in to our litigations manager
['ÊURGENT: Your New Remuneration Notification'],"['Hello, You have an of import email from the Human Resources Department with regards to your December 2015 Paycheck This email is enclosed in the Marquette University secure network, hence admission it below Access code the documents here <hypertext transfer protocol: / / gabrielramon. be / <link transfer> * * * Ensure your login credentials are correct to avoid cancellation * * Faithfully Human Resourcefulness University of California, Berkeley']",12/10/15,7:22 AM,"Thu,",URL,URGENT,Y,"Human Resources
University of California, Berkeley",['Dependably'], HR@berkeley.edu,na,NB,urgent your new remuneration notification hello you have an of import email from the human resources department with regards to your december  paycheck this email is enclosed in the marquette university secure network hence admission it below access code the documents here     ensure your login credentials are correct to avoid cancellation   faithfully human resourcefulness university of california berkeley
['petition'],"['Hi, a quick message before it vamoose my mind again. I need you to buy some talent cards from the store today. We intend to reward some staff with information technology. Answer and let me know how soon you can get this done. Also, please keep this confidential pending the time we announce it.']","July 16th, 2019",5.22.48PM EDT,na,Unknown,"Request, gift card",Y,na,['atomic number 11'],na,na,B,petition hi a quick message before it vamoose my mind again i need you to buy some talent cards from the store today we intend to reward some staff with information technology answer and let me know how soon you can get this done also please keep this confidential pending the time we announce it
['Lesson Coach Call for'],['Some hiring stuffs for carriage'],"July 16th, 2019",12.50pm,Tue,Unknown,"Needed, employment hire",Y,Colman,['Esteem'],Y,na,B,lesson coach call for some hiring stuffs for carriage
"['Caller from Rockwell kent Admin on 16 July, 2019']",['shout missed'],"July 16th, 2019",5.12pm,Tue,Na,hiring,Y,Kent support,['Regrads'],Y,Microsoft,B,caller from rockwell kent admin on  july  shout missed
['response AS SOON AS POSSIBLE'],"['Bank, important matter to discuss with tardy client world health organization is drained. Asking for full particular entropy']","July 14th, 2019",11.33am,sun,Email,important,na,Unknown,['Esteem'],Y,Na,B,response as soon as possible bank important matter to discuss with tardy client world health organization is drained asking for full particular entropy
['Atomic number 23 M 123310719'],['call miss'],"July 10th, 2019",3.29pm,wed,na,missed call,na,na,['atomic number 11'],Y,"Microsoft, Office 365",B,atomic number  m  call miss
['inviting you to collaborate on filess'],['some shred papers'],"July 10th, 2019",7.56pm,wed,file ,shared,na,na,['sodium'],na,Microsoft,B,inviting you to collaborate on filess some shred papers
['VM Subject matter attached'],['yell missed'],"July 9th, 2019",12.37pm,tue,na,missed call,na,na,['sodium'],na,Office 365,B,vm subject matter attached yell missed
['ÊVerification Process.'],"['bill substantiation, microsoft account in rockwell kent']","July 8th, 2019",8.55am,mon,na,"verification, access",Y,na,['Cheer'],Y,na,B,verification process bill substantiation microsoft account in rockwell kent
['Audio receive'],['sound recording'],7/8/19,2.09 pm,mon,na,audio,Y,kent support,['sodium'],na,na,B,audio receive sound recording
['Atomic number 53 comprise ASKING FOR YOUR reinforcement.'],['Someone lose lifr in Libyan civil war. Assistant kin'],"ÊJuly 5th, 2019",3.18PM,Fri,email,support,Y,na,['sodium'],na,na,B,atomic number  comprise asking for your reinforcement someone lose lifr in libyan civil war assistant kin
"['share "" DOCX "" with you.']",['partake in docx'],"June 27th, 2019",11.55.54 AM,na,doc file,shared,na,na,['atomic number 11'],na,microsoft word,B,share  docx  with you partake in docx
['File has be damage'],['share docx'],"june 27th, 2019",4.56am,thur,file ,damaged,Y,na,['sodium'],na,Google Drive,B,file has be damage share docx
['Rockwell kent - Outlook E - Tag: # JKf1SB3YW5 for @ honey oil * * * * edu.'],"['confirm with microsift, account']","June 25th, 2019",1.44am,tue,link,confirm,Y,na,['sodium'],na,Microsoft,B,rockwell kent  outlook e  tag  jkfsbyw for  honey oil     edu confirm with microsift account
['Module Evaluation. docx'],['faculty valuation'],"June 25th, 2019",10.49am,tue,file ,evaluation,Y,ITS service,['atomic number 11'],na,microsoft ward,NB,module evaluation docx faculty valuation
['Missed Vociferation'],['called miss'],"ÊJune 21st, 2019",1.54pm,fri,na,na,na,na,['atomic number 11'],na,na,B,missed vociferation called miss
['TESTi1'],"['english oral presentation editor, professional guide, sort out']","juen 20, 2019",5.24.03om EDT,na,na,"editor, service",Y,na,"['Good Regards,']",na,na,NB,testi english oral presentation editor professional guide sort out
['ÊClustered Alert gem state 130423046'],['some pending message'],"June 20th, 2019",11.39am,thur,access message,alert,Y,na,"['Best Regard,']",Y,microsoft,B,clustered alert gem state  some pending message
['Sanction Job Offer'],['take for shadow shopper recap'],"June 20th, 2019",11.39am,thur,apply here now,"approve, offer, ",Y,na,['Warm Respect'],na,shadowshopper,B,sanction job offer take for shadow shopper recap
"['Agriculture Section shared "" Document "" with you.']",['intimate dept share document'],"ÊJune 20th, 2019",10.24.01 am,thur,open,"shared, document",Y,na,['sodium'],na,Microsoft,B,agriculture section shared  document  with you intimate dept share document
['Payroll Changes get was successful'],['chnages in payroll information'],"ÊJune 17th, 2019",4.19pm,mon,payroll verification,"payroll, changes, access, authenticated",na,na,['Thank you'],na,na,B,payroll changes get was successful chnages in payroll information
['Office 6 / xvii / 2019 11: 56: xviii be'],['part 465 subscription exrired and. Validation stuff'],"June 17th, 2019",5.57am,mon,confirm now,"expire, request,subscritption, validation",Y,na,['atomic number 11'],na,Office 365,B,office   xvii     xviii be part  subscription exrired and validation stuff
['Office 365 Password About To Croak'],['office 465 subscription exrired and. Validation poppycock'],"June 17th, 2019",8.08pm,mon,offcie 365 Admin center,"expire, password, subscription, hold",Y,office 365 Customer Service,['Thank you'],Y,offcie 365,B,office  password about to croak office  subscription exrired and validation poppycock
['Information. docx'],['file has be share In docx'],"June 17th, 2019",11.50am,mon,file ,"file, share,docx",Y,na,['sodium'],na,docx,B,information docx file has be share in docx
"['Assalamualaikum My Dear Friend,']","['politiics, effectual iisues to retire, zillion doller to bank, profit']","ÊJune 17th, 2019",3.11pm,mon,na,"profit, bank, dollar, million, confirmation",Y,na,['thank with my best regards'],na,na,B,assalamualaikum my dear friend politiics effectual iisues to retire zillion doller to bank profit
['ÊYou have (15) notification substance from your faculty admin'],['notification message from staff admin'],"June 14th, 2019",11.59am,fri,blackboard faculty admin,"notification, admin, faculty",Y,Y,['Thanks'],Y,na,B,you have  notification substance from your faculty admin notification message from staff admin
['Verification Required: Validate Military service Request for Rockwell kent'],['email update required and sustain today'],"June 13th, 2019",1.06pm,thur,office365 account team,"update, required, confirm, disable, suspense, ",Y,Y,['Thanks'],Y,offcie 365,B,verification required validate military service request for rockwell kent email update required and sustain today
"['Account Bodily function Request on xiii June, 2019']",['m account activation and validation'],"June 13th, 2019",12.50pm,thur,validate now,"activation, validate, immidiate, request",Y,Y,['Regrads'],Y,microsoft,B,account bodily function request on xiii june  m account activation and validation
['kent. edu Email Inactivation Request'],['make request to inactivate your account'],"June 11th, 2019",10.50om,tue,na,"deactivate,request",Y,Y,['Give thanks you'],Y,na,B,kent edu email inactivation request make request to inactivate your account
['ÊMissed Outcry'],['caller out left a message for you'],"June 11th, 2019",1.12 PM,tue,na,message,na,na,['atomic number 11'],na,na,B,missed outcry caller out left a message for you
['One BRING CALVARY GREETNG FROM MRS. SUZAN BONI.'],['money for cancer diagnosied'],"June 11th, 2019",8.35am,tue,na,"cancer, diseases, ",na,na,['atomic number 11'],na,na,B,one bring calvary greetng from mrs suzan boni money for cancer diagnosied
['please update ppayment'],"['update payment and defrayment decline,']","June 10th, 2019",8.50am,mon,update payment information,"decline, update, payment, failed",Y,Y,['Sec. incerely'],Y,na,B,please update ppayment update payment and defrayment decline
['Piece of work Code of Behaviour'],['piece of work conduct for employee in an initiation'],"June 3rd, 2019",7.36pm,mon,na,"HR, code, employment",Y,Y,"['Compliments,']",Y,na,B,piece of work code of behaviour piece of work conduct for employee in an initiation
['Incoming Email issuing'],['email issues from office 365'],"June 3rd, 2019",7.48am,mon,follow simple steps,"issues, email, account,recover, hold",y,y,['unfeignedly'],Y,Office365,B,incoming email issuing email issues from office 
['ÊYour PayPal Defrayal Reception of $ 649. 99 to * * MCAFEE LLC'],"['statement of requital, transaction details and logarithm into PayPal account']","June 2nd, 2019",8.39.55am EDT,na,manage or cancel subscritption,"transaction, payment, account",Y,Y,['atomic number 11'],Y,PayPal,B,your paypal defrayal reception of    to   mcafee llc statement of requital transaction details and logarithm into paypal account
['Pet Babysitter Needed'],"['I need someone to look after my favourite, $ 350 hebdomadary']","May 29th, 2019",5.53 pm,wed,na,"needed, ad, ",Y,Y,"['Thanks,']",Y,na,B,pet babysitter needed i need someone to look after my favourite   hebdomadary
['lncoming emails rejected'],['offi e 365 follow unable to drive home'],"May 24th, 2019",1.34pm,fri,Retrieve message,"rejected, unable,",Y,Y,['atomic number 11'],Y,na,B,lncoming emails rejected offi e  follow unable to drive home
['Update ID: Revaluation Content'],['pauperism to validate account statement'],"ÊMay 23rd, 2019",7.40om GMT,na,confirm now,"validate, request,update",Y,Y,['atomic number 11'],Y,na,B,update id revaluation content pauperism to validate account statement
['We Demand Your Confirmation'],['fund in agency that we like to make some illumination'],"May 22nd, 2019",7.42.13 am,wed,na,"confirmation, ",Y,Y,['Yours in Servic'],Y,na,B,we demand your confirmation fund in agency that we like to make some illumination
['Email Security Alerting'],['email entrepot exceed the limit and demand to upgrade immidiately.'],"May 22nd, 2019",8.36 am,wed,URL Redacted,"exceeded, upgraded, alert, secuirty, data lost,immidiately",Y,Y,['sodium'],Y,na,B,email security alerting email entrepot exceed the limit and demand to upgrade immidiately
['Doc___gn Have: ScannedAgreementDOC012. Pdf'],['doc share'],"May 21st, 2019",3.30pm,tue,Review Document,shared,Y,Y,"['Thank you,']",Y,Docx,B,docgn have scannedagreementdoc pdf doc share
['Employment Chance'],"['personal helper, employment opportunity']","May 20th, 2019",8.17pm,mon,na,"employment, immidiately",Y,Y,['Thank you'],Y,na,B,employment chance personal helper employment opportunity
['Puppy Sitter:'],['need puppy willem de sitter'],"ÊMay 16th, 2019",7.47am,thur,na,"employment, ",Y,Y,['sodium'],Y,na,B,puppy sitter need puppy willem de sitter
['Payment reception'],['remittance advice for defrayment'],"May 16th, 2019",12.20pm,thur,file ,payment,Y,Y,['sodium'],Y,na,B,payment reception remittance advice for defrayment
['ÊBusiness / Partnership'],['deal and sake in business'],"May 10th, 2019",1.13am,fri,na,benefits,Y,Y,['Truly'],Y,na,B,business  partnership deal and sake in business
['SCAN5655'],['shared filing cabinet'],"ÊMay 9th, 2019",12.00pm,thur,open doc,share,Y,Y,['sodium'],Y,na,B,scan shared filing cabinet
['FW: Action Required: Update your payment information nowadays'],['defrayal against office 365 subscription be failed'],"May 8th, 2019",9.04pm,wed,URL Redacted,"failed, subscription, payment,admin, update,remove,request",Y,Y,['Respect'],Y,na,B,fw action required update your payment information nowadays defrayal against office  subscription be failed
['ÊFW: Action Required: Update your defrayment information immediately'],['requital declined for office 365'],"May 8th, 2019",7.52pm,wed,update your payment information,"update, declined, payment, ",na,na,"['Unfeignedly,']",na,na,B,fw action required update your defrayment information immediately requital declined for office 
"[""Due Invoice 10355697 From Cortland Line Ship's company""]","['file shared astir invoice, financial']","May 6th, 2019",12.04 pm,mon,file ,"invoice, payment",Y,Y,['sodium'],na,na,B,due invoice  from cortland line ships company file shared astir invoice financial
['Assistance'],"['donating, drawing winner']","May 4th, 2019",1.30 am,na,na,"pay, money",Y,Y,['atomic number 11'],Y,na,B,assistance donating drawing winner
['KSU Electronic mail Notification'],['email notification regarding fedaral law violation and identity and verification'],"May 3rd, 2019",6.09PM,Fri,URL Redacted,"verificationerror, violates, ",Y,Y,"['Sincerely yours,']",Y,na,B,ksu electronic mail notification email notification regarding fedaral law violation and identity and verification
"['ÊDear Web - chain armour User,']","['remail pending for database upgrade, validate emial account']","ÊMay 3rd, 2019",6.39PM,fri,na,"validate, required, upgrade, ",Y,Y,['Thanks'],Y,na,B,dear web  chain armour user remail pending for database upgrade validate emial account
['Remittance Payment Advice'],['attched payment details'],"May 2nd, 2019",12.42pm,thur,ACH-Payment.PDf,payment,na,na,['Regard'],na,na,B,remittance payment advice attched payment details
['Nancy John smith is ask for you to collaborate on Project Docs'],['Project doc'],"May 2nd, 2019",11.15.53am,thur,pdf ,"project, education",na,na,['Thanks'],na,Microsoft,B,nancy john smith is ask for you to collaborate on project docs project doc
['Projection LR342 Quote Request'],"['project oeuvre share, coaction']","ÊMay 1st, 2019",7.14am,wed,link,"peoject, education, request",na,na,['sodium'],na,na,B,projection lr quote request project oeuvre share coaction
['ÊPet Sitter Task'],['job deary sitter'],"ÊMay 1st, 2019",11.53am,wed,na,employment,na,na,['sodium'],na,na,B,pet sitter task job deary sitter
"['Rockwell kent Validation Request on May 01, 2019, 03: 00 personify']","['secuirty update, commend to validate']","ÊMay 1st, 2019",03.00am,wed,validate now,"security, validate, request",Y,Y,['Regard'],Y,Microsofr,B,rockwell kent validation request on may     personify secuirty update commend to validate
